City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,San Patricio,US,28.017,-97.5169,84.88,74,4,11.21,clear sky
177,Paita,PE,-5.0892,-81.1144,63.27,80,54,18.43,broken clouds
178,Kruisfontein,ZA,-34.0033,24.7314,48.88,38,100,7.72,overcast clouds
179,Victoria,HK,22.2855,114.1577,86.38,77,100,18.01,overcast clouds
180,Severo-Kurilsk,RU,50.6789,156.125,51.44,75,90,4.45,overcast clouds
181,Kununurra,AU,-15.7667,128.7333,78.78,19,6,16.11,clear sky
182,Aripuana,BR,-9.1667,-60.6333,72.14,87,6,1.7,clear sky
183,Port Lincoln,AU,-34.7333,135.8667,58.3,65,0,7.27,clear sky
184,Kenai,US,60.5544,-151.2583,64.02,79,78,14.9,broken clouds
185,Adeje,ES,28.1227,-16.726,68.32,73,20,10.36,few clouds
186,Huarmey,PE,-10.0681,-78.1522,62.96,81,10,13.13,clear sky
187,Kushmurun,KZ,52.4503,64.6311,71.83,55,70,4.16,broken clouds
188,Luderitz,NA,-26.6481,15.1594,54.46,76,0,4.81,clear sky
189,Pyshchug,RU,58.8873,45.7134,52.39,87,9,3.69,clear sky
190,Necochea,AR,-38.5473,-58.7368,46.44,69,0,10.22,clear sky
191,Yuyao,CN,30.05,121.1494,84.78,61,100,1.66,overcast clouds
192,Sibut,CF,5.718,19.0739,69.04,98,100,3.6,overcast clouds
193,Cintalapa,MX,16.6951,-93.7272,70.32,90,36,5.39,scattered clouds
194,Yulara,AU,-25.2406,130.9889,67.84,33,39,7.38,scattered clouds
195,Carnarvon,AU,-24.8667,113.6333,73.87,77,97,13.38,overcast clouds
196,Brae,GB,60.3964,-1.353,54.01,93,100,11.9,overcast clouds
197,Wuan,CN,31.6836,112.0044,90.07,42,0,11.68,clear sky
198,Kampene,CD,-3.6,26.6667,69.3,65,41,1.72,scattered clouds
199,Sao Filipe,CV,14.8961,-24.4956,73.94,85,63,5.61,broken clouds
200,Seoul,KR,37.5683,126.9778,72.79,48,17,6.26,few clouds
201,Yukuhashi,JP,33.7287,130.983,86.25,60,10,4.23,clear sky
202,Yerbogachen,RU,61.2767,108.0108,73.31,40,97,9.98,overcast clouds
203,Husavik,IS,66.0449,-17.3389,52.29,65,100,6.02,overcast clouds
204,Nanakuli,US,21.3906,-158.1547,83.98,65,75,11.5,broken clouds
205,Ambilobe,MG,-13.2,49.05,68.23,93,81,2.68,light rain
206,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.7,76,0,9.19,clear sky
207,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,6.91,broken clouds
208,Nyimba,ZM,-14.5566,30.8149,60.31,64,0,3.6,clear sky
209,Japura,ID,-0.3167,102.35,79.03,84,85,3.53,overcast clouds
210,Mount Gambier,AU,-37.8333,140.7667,53.51,94,100,8.05,overcast clouds
211,Saraland,US,30.8207,-88.0706,85.05,75,100,3.49,overcast clouds
212,Kingston,JM,17.997,-76.7936,83.35,78,75,14.97,broken clouds
213,Faya,SA,18.3851,42.4509,67.23,30,1,4.65,clear sky
214,Baruun-Urt,MN,46.6806,113.2792,71.28,49,100,11.79,overcast clouds
215,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,71.58,98,59,0.6,broken clouds
216,Bethel,US,41.3712,-73.414,67.01,90,100,6.91,overcast clouds
217,Shenjiamen,CN,29.9576,122.298,73.85,92,97,10.36,overcast clouds
218,Palencia,ES,42.4167,-4.5,65.21,68,96,8.08,overcast clouds
219,Arraial Do Cabo,BR,-22.9661,-42.0278,69.22,77,0,17.76,clear sky
220,Athabasca,CA,54.7169,-113.2854,60.33,81,100,10.8,overcast clouds
221,Kondoa,TZ,-4.9,35.7833,53.74,94,6,4.21,clear sky
222,Broome,US,42.2506,-75.833,72.46,86,0,8.05,mist
223,North Bend,US,43.4065,-124.2243,62.24,88,100,5.73,overcast clouds
224,Olinda,BR,-8.0089,-34.8553,73.13,25,75,8.05,broken clouds
225,Hami,CN,42.8,93.45,83.68,26,100,4.18,overcast clouds
226,Ilulissat,GL,69.2167,-51.1,39.22,75,40,10.36,scattered clouds
227,Mozarlandia,BR,-14.7447,-50.5706,75.25,43,8,2.1,clear sky
228,Hope,US,33.6671,-93.5916,83.98,63,2,4.5,clear sky
229,Valparaiso,CL,-33.0393,-71.6273,54.48,81,0,2.3,clear sky
230,Khuzhir,RU,53.1939,107.3397,51.58,86,36,3.65,scattered clouds
231,Dorchester,US,33.1002,-80.3831,73.08,99,100,3.0,light rain
232,Souillac,MU,-20.5167,57.5167,66.58,94,20,5.75,few clouds
233,Esperance,AU,-33.8667,121.9,66.51,72,0,16.35,clear sky
234,Tierranueva,MX,21.6833,-100.5667,60.96,87,100,14.0,overcast clouds
235,Axim,GH,4.8699,-2.2405,75.2,91,91,10.56,light rain
236,Kuznechnoye,RU,61.12,29.8686,48.99,94,100,8.72,overcast clouds
237,Cabo San Lucas,MX,22.8909,-109.9124,90.61,67,99,10.87,overcast clouds
238,Kyren,RU,51.6828,102.1408,68.45,67,100,2.62,moderate rain
239,Severomorsk,RU,69.0689,33.4162,39.6,92,100,19.39,overcast clouds
240,Richards Bay,ZA,-28.783,32.0377,53.65,67,10,4.43,clear sky
241,Portland,US,45.5234,-122.6762,69.8,56,100,4.0,overcast clouds
242,Gerash,IR,27.6652,54.1371,86.11,14,0,2.15,clear sky
243,Coralville,US,41.6764,-91.5805,79.03,47,0,5.75,clear sky
244,Huallanca,PE,-9.8993,-76.9417,41.74,76,28,0.87,scattered clouds
245,Atherton,GB,53.5237,-2.4935,65.43,60,100,1.99,overcast clouds
246,Kavaratti,IN,10.5669,72.642,81.72,79,96,11.32,overcast clouds
247,Zhigansk,RU,66.7697,123.3711,55.81,46,0,19.48,clear sky
248,Changtu,CN,42.7788,124.0955,73.85,71,82,10.38,broken clouds
249,Sangar,RU,63.9242,127.4739,59.47,76,84,2.17,light rain
250,Galesong,ID,-5.3166,119.3661,82.18,73,60,1.99,broken clouds
251,Bandarbeyla,SO,9.4942,50.8122,78.82,71,90,20.22,overcast clouds
252,Lagoa,PT,39.05,-27.9833,65.37,89,0,7.92,clear sky
253,Krasnoselkup,RU,65.7,82.4667,65.84,74,100,8.95,overcast clouds
254,San Matias,BO,-16.3667,-58.4,75.15,71,27,4.74,scattered clouds
255,Ostrovnoy,RU,68.0531,39.5131,40.41,98,100,15.35,overcast clouds
256,Brownsville,US,25.9018,-97.4975,84.09,78,11,4.0,few clouds
257,Sinnamary,GF,5.3833,-52.95,77.41,83,100,4.41,overcast clouds
258,Leningradskiy,RU,69.3833,178.4167,38.44,70,89,9.75,overcast clouds
259,Sitka,US,57.0531,-135.33,70.48,45,40,5.28,scattered clouds
260,Manado,ID,1.487,124.8455,88.57,66,40,2.3,scattered clouds
261,Calabozo,VE,8.9242,-67.4293,74.1,90,1,0.89,clear sky
262,Hualmay,PE,-11.0964,-77.6139,61.88,81,19,13.6,few clouds
263,Hamada,JP,34.8833,132.0833,76.3,65,3,9.51,clear sky
264,Liverpool,GB,53.4106,-2.9779,65.82,50,99,5.01,overcast clouds
265,Baculin,PH,7.4525,126.5842,85.46,68,47,6.55,scattered clouds
266,Iwanai,JP,42.9744,140.5089,63.1,90,98,5.26,overcast clouds
267,Shingu,JP,33.7333,135.9833,78.26,69,100,2.55,overcast clouds
268,Noboribetsu,JP,42.4514,141.1731,64.58,80,33,8.05,scattered clouds
269,Grindavik,IS,63.8424,-22.4338,46.9,100,100,14.97,moderate rain
270,Ladario,BR,-19.0047,-57.6017,75.24,64,2,3.02,clear sky
271,Sorland,NO,67.667,12.6934,46.26,77,100,5.88,overcast clouds
272,Vanimo,PG,-2.6741,141.3028,81.63,78,100,4.23,overcast clouds
273,Almeirim,BR,-1.5233,-52.5817,73.18,82,82,1.68,broken clouds
274,Virginia Beach,US,36.8529,-75.978,79.02,77,75,8.05,broken clouds
275,Cooma,AU,-36.2333,149.1333,48.42,67,98,10.45,overcast clouds
276,Guapiacu,BR,-20.795,-49.2203,65.3,51,0,5.28,clear sky
277,Plettenberg Bay,ZA,-34.0527,23.3716,54.64,47,56,8.7,broken clouds
278,Banamba,ML,13.55,-7.45,79.63,60,100,9.8,overcast clouds
279,Kavarna,BG,43.4333,28.3333,62.58,67,4,5.35,clear sky
280,Adelaide,AU,-34.9333,138.6,60.22,76,75,8.05,broken clouds
281,Tangjiazhuang,CN,39.7333,118.45,82.67,50,5,6.06,clear sky
282,Khandbari,NP,27.3747,87.2039,75.7,77,51,1.81,broken clouds
283,Sovetskiy,RU,61.3614,63.5842,64.29,47,11,5.37,few clouds
284,Trojes,AL,41.756,19.962,63.55,69,4,4.99,clear sky
285,Honningsvag,NO,70.9821,25.9704,40.75,87,100,9.22,overcast clouds
286,Zabaykalsk,RU,49.6333,117.3167,73.62,44,16,7.34,few clouds
287,Wembley,AU,-31.9333,115.8,68.09,81,20,17.27,few clouds
288,Berlevag,NO,70.8578,29.0864,39.2,81,100,9.22,overcast clouds
289,Nikolskoye,RU,59.7035,30.7861,55.87,75,100,6.31,overcast clouds
290,Nizhniy Chir,RU,48.3597,43.0865,62.37,72,81,5.73,broken clouds
291,Dalvik,IS,65.9702,-18.5286,48.13,66,100,3.15,overcast clouds
292,Bulgan,MN,48.8125,103.5347,69.35,62,18,4.16,few clouds
293,Albion,US,42.2431,-84.753,82.26,42,0,11.5,clear sky
294,Udachnyy,RU,66.4167,112.4,66.45,36,85,7.9,overcast clouds
295,Sobolevo,RU,54.4299,31.8996,52.25,93,100,6.22,overcast clouds
296,Newport,GB,51.5877,-2.9984,63.68,81,100,5.7,overcast clouds
297,Pozo Colorado,PY,-23.4923,-58.7972,68.36,94,100,3.24,overcast clouds
298,Saint-Pierre,RE,-21.3393,55.4781,69.48,64,0,8.05,clear sky
299,Varkaus,FI,62.3153,27.873,48.31,96,100,9.78,light rain
300,Kimbe,PG,-5.5502,150.1429,85.93,68,25,4.16,light rain
301,Naze,JP,28.3667,129.4833,72.09,93,100,1.39,moderate rain
